index,valid,input_type,proposed_num_steps,proposed_functions,shortest_subsequence_num_steps,shortest_subsequence_functions,no_op_steps,revisits_state,exact_status,verified_shortest_num_steps,search_complete,certified_depth,search_stop_reason,search_states,search_transitions
0,True,dict,1,dict_freeze,1,dict_freeze,0,False,certified,1,True,1,,10,9
1,True,list,1,list_is_empty,1,list_is_empty,0,False,certified,1,True,1,,10,10
2,True,tuple,1,tuple_length,1,tuple_length,0,False,certified,1,True,1,,7,6
3,True,list,1,list_tail,1,list_tail,0,False,certified,1,True,1,,9,10
4,True,complex,1,complex_conjugate,1,complex_conjugate,0,False,certified,1,True,1,,6,5
5,True,range,1,range_list,1,range_list,0,False,not_selected,,,,,,
6,True,set,1,set_size,1,set_size,0,False,not_selected,,,,,,
7,True,bool,1,bool_identity,0,,1,True,not_selected,,,,,,
8,True,complex,1,complex_imag,1,complex_imag,0,False,not_selected,,,,,,
9,True,dict,1,dict_freeze,1,dict_freeze,0,False,not_selected,,,,,,
10,True,tuple,1,tuple_to_index_dict,1,tuple_to_index_dict,0,False,not_selected,,,,,,
11,True,set,1,set_is_empty,1,set_is_empty,0,False,not_selected,,,,,,
12,True,dict,1,dict_length,1,dict_length,0,False,not_selected,,,,,,
13,True,bytes,1,bytes_reverse,1,bytes_reverse,0,False,not_selected,,,,,,
14,True,set,1,set_to_list,1,set_to_list,0,False,not_selected,,,,,,
15,True,float,1,f_fraction,1,f_fraction,0,False,not_selected,,,,,,
16,True,dict,1,dict_freeze,1,dict_freeze,0,False,not_selected,,,,,,
17,True,complex,1,complex_real,1,complex_real,0,False,not_selected,,,,,,
18,True,complex,1,complex_conjugate,1,complex_conjugate,0,False,not_selected,,,,,,
19,True,dict,1,dict_is_empty,1,dict_is_empty,0,False,not_selected,,,,,,
20,True,bytearray,1,bytearray_to_bytes,1,bytearray_to_bytes,0,False,not_selected,,,,,,
21,True,bool,1,bool_to_int,1,bool_to_int,0,False,not_selected,,,,,,
22,True,str,1,str_hash,1,str_hash,0,False,not_selected,,,,,,
23,True,range,1,range_sum,1,range_sum,0,False,not_selected,,,,,,
24,True,set,1,set_to_list,1,set_to_list,0,False,not_selected,,,,,,
25,True,dict,1,dict_freeze,1,dict_freeze,0,False,not_selected,,,,,,
26,True,int,1,is_negative,1,is_negative,0,False,not_selected,,,,,,
27,True,int,1,int_clip_0_100,1,int_clip_0_100,0,False,not_selected,,,,,,
28,True,int,1,dec,1,dec,0,False,not_selected,,,,,,
29,True,bytearray,1,bytearray_to_bytes,1,bytearray_to_bytes,0,False,not_selected,,,,,,
30,True,str,1,lower,1,lower,0,False,not_selected,,,,,,
31,True,float,1,f_floor,1,f_floor,0,False,not_selected,,,,,,
32,True,dict,1,dict_flip,1,dict_flip,0,False,not_selected,,,,,,
33,True,str,1,str_hash,1,str_hash,0,False,not_selected,,,,,,
34,True,set,1,set_to_list,1,set_to_list,0,False,not_selected,,,,,,
35,True,range,1,range_list,1,range_list,0,False,not_selected,,,,,,
36,True,str,1,str_is_palindrome,1,str_is_palindrome,0,False,not_selected,,,,,,
37,True,list,1,list_tail,1,list_tail,0,False,not_selected,,,,,,
38,True,tuple,1,tuple_length,1,tuple_length,0,False,not_selected,,,,,,
39,True,dict,1,dict_keyset,1,dict_keyset,0,False,not_selected,,,,,,
40,True,int,1,dec,1,dec,0,False,not_selected,,,,,,
41,True,int,1,is_positive,1,is_positive,0,False,not_selected,,,,,,
